dataset,model,Recall@10,Recall@20,Precision@10,Precision@20,NDCG@10,NDCG@20,F1@10,F1@20,MRR@10,MRR@20,HitRatio@10,HitRatio@20,val_Recall@10,val_Recall@20,val_Precision@10,val_Precision@20,val_NDCG@10,val_NDCG@20,val_F1@10,val_F1@20,val_MRR@10,val_MRR@20,val_HitRatio@10,val_HitRatio@20,infer_total_s,infer_ms_per_user,train_seconds,best_val_NDCG@10,device,is_real_data,seed,git_commit,epochs,edge_mode
amazon_video_games,LightGCN,0.005649255486993781,0.008774151121445622,0.001447458399817643,0.001099840437656713,0.0038565850010409365,0.004826759914526925,0.0023044644148783734,0.001954663653845418,0.005488483289372279,0.005938062672761518,0.013790745384089354,0.02005926601322088,0.013927150846000214,0.019960666697508584,0.004261678104936905,0.003116006198804516,0.010467654962922505,0.012391683105194123,0.006526317223022172,0.005390513740102002,0.01665296182674974,0.01774369101844477,0.03769094531768873,0.053187956608368385,0.018990563927218318,0.002164413486120164,100.95696146698901,0.010467654962922505,cuda,True,42,2db0798d04a2508ffb923b18aefef52ecf111f01,50,binary
amazon_video_games,NGCF,0.0037249295133375666,0.006550500124560764,0.0009003875085479827,0.0007864144062001368,0.002473592677237159,0.0033451934116555944,0.0014502270820189636,0.0014042436079015168,0.0033309543709589295,0.0037273113351129527,0.00888990198313198,0.01447458399817643,0.011355525458954276,0.01796343176481636,0.0032045605490369712,0.002604051361523135,0.00796932198257118,0.010065510500600429,0.0049985238932486525,0.004548704249076805,0.011522805380730994,0.012639918681035025,0.02905689617002435,0.04555014390081913,0.03048882505390793,0.0034749059783346172,169.15527808503248,0.00796932198257118,cuda,True,42,2db0798d04a2508ffb923b18aefef52ecf111f01,50,binary
amazon_video_games,Sheaf4Rec-official,0.004737435128812763,0.007002666551513023,0.0011625256439480281,0.0008718942329610213,0.0027549944043826365,0.0034399712075099385,0.0018669242172632188,0.0015507111440809203,0.0034935017240693097,0.0038418050737334566,0.01139731023478459,0.0166400729427855,0.010691488782428234,0.015238105319307358,0.003088332964356874,0.0022166260792561435,0.007093393071279002,0.00853463354631653,0.00479235186805349,0.0038702608339201672,0.010314583179593141,0.011085455551973851,0.029499667921186627,0.04067965463803409,0.09915805701166391,0.011301351380403911,422.96722023701295,0.007093393071279002,cuda,True,42,2db0798d04a2508ffb923b18aefef52ecf111f01,50,binary
amazon_video_games,NCL,0.009274878925503625,0.013682395686280015,0.0031912468657396852,0.0021711875997264644,0.0070272831418419415,0.008343717068141554,0.004748616979610392,0.0037476761326032367,0.0114392812819984,0.012073171126905036,0.028037383177570093,0.037497150672441304,0.020389702979240632,0.02928773990114569,0.007294664600398495,0.005141686960371928,0.01565984207686691,0.018561662953144903,0.010745128571742882,0.008747655948743122,0.026051868426508674,0.027527976801890675,0.06148992694266106,0.08285366393624087,0.0178315358934924,0.0020323154654082977,72.87411487597274,0.01565984207686691,cuda,True,42,2db0798d04a2508ffb923b18aefef52ecf111f01,50,binary
amazon_video_games,DirectAU,0.004712309906581117,0.007956979089532985,0.0012423068155915204,0.001002963300661044,0.0031756152201948325,0.004123988519677766,0.0019662507218396377,0.0017813860097277009,0.004752497458218909,0.005208158136927241,0.011625256439480283,0.01834966947800319,0.012128370709219922,0.01896602094706659,0.0038797874695594417,0.0030163825547930042,0.009319213220424605,0.011483578423891548,0.005878939997754474,0.00520496084185979,0.014846580466737652,0.01605815025458935,0.035145007748505645,0.052800531326101394,0.017714488902129233,0.0020189752566821557,228.38663489196915,0.009319213220424605,cuda,True,42,2db0798d04a2508ffb923b18aefef52ecf111f01,50,binary
amazon_video_games,LightGCN,0.005495654821102477,0.008497773722469154,0.0015158422612263508,0.0011397310234784591,0.0038340169471286784,0.004768003274398884,0.002376253097768539,0.0020098929333488644,0.005888474605707339,0.006337196705763842,0.014360610895828584,0.020857077729655803,0.014124047742329914,0.02043352698659104,0.004394509630285588,0.0031934912552579148,0.010410770646908015,0.012412734266943733,0.006703358428347801,0.005523700796927015,0.016437352189787435,0.017533992200958103,0.03918529997786141,0.05468231126854107,0.01911125797778368,0.002178169361498026,82.20897509902716,0.010410770646908015,cuda,True,43,2db0798d04a2508ffb923b18aefef52ecf111f01,50,binary
amazon_video_games,NGCF,0.0038538280927047763,0.006838501814934435,0.0008206063369044905,0.0007693184408479599,0.0025275144276456028,0.0034194398737983954,0.0013530944980988577,0.001383046753766992,0.003359538101389025,0.00376623535897065,0.007864144062001368,0.014018691588785047,0.011293772998040968,0.018006821766964838,0.0032322337834846137,0.0025846800974097853,0.007974406873204967,0.010076820803076229,0.005026035740765435,0.004520493371025206,0.011754140442982597,0.012870559865872036,0.02938897498339606,0.04582687624529555,0.030140425893478096,0.003435197845165044,170.36428576498292,0.007974406873204967,cuda,True,43,2db0798d04a2508ffb923b18aefef52ecf111f01,50,binary
amazon_video_games,Sheaf4Rec-official,0.004107175238376736,0.006424430963428221,0.0010485525416001824,0.0007921130613175291,0.0028705107226978037,0.0035502988734548643,0.0016706037319202843,0.0014103359337140717,0.003909277410531114,0.0042552514079616036,0.010143606108958286,0.015386368816959197,0.010379231533986002,0.014544671766315399,0.002949966792118663,0.0021170024352446313,0.007773684167341925,0.009095295731835651,0.004594183026447248,0.003696039806880939,0.012582844000267069,0.013327601849898679,0.027894620323223377,0.03879787469559442,0.09890397015260532,0.011272392312811184,461.2780002010404,0.007773684167341925,cuda,True,43,2db0798d04a2508ffb923b18aefef52ecf111f01,50,binary
amazon_video_games,NCL,0.008292196607663463,0.011987785146404018,0.00250740825165261,0.0017779803966263962,0.005364730795875133,0.0065526451486982535,0.003850496841177553,0.0030966744163482725,0.007626835781041389,0.008242200629176714,0.023478459083656256,0.03225438796444039,0.018336198273273627,0.027271299546788624,0.0061434580473765776,0.004519039185299978,0.013928516853463545,0.016840878968791242,0.009203369799371705,0.007753303437537456,0.02309996890055557,0.024618294034445765,0.053520035421740095,0.07543723710427275,0.01745040202513337,0.001988876456021583,73.10535217600409,0.013928516853463545,cuda,True,43,2db0798d04a2508ffb923b18aefef52ecf111f01,50,binary
amazon_video_games,DirectAU,0.004966516292593338,0.007452093071333989,0.0012651014360610896,0.0009630727148392978,0.003374870775257219,0.004151956118965373,0.002016537973787853,0.0017057079296612107,0.004641690275380724,0.0050224574000007115,0.012309095053567358,0.017893777068611807,0.012470423212683638,0.0187462823779816,0.0037746291786584017,0.00283650653088333,0.009187371997458725,0.011153931824160752,0.005795145770524173,0.004927440343271595,0.014109440174859702,0.015117921508890079,0.03403807837059995,0.0488709320345362,0.017691672896035016,0.00201637484568441,280.3407979350304,0.009187371997458725,cuda,True,43,2db0798d04a2508ffb923b18aefef52ecf111f01,50,binary
amazon_video_games,LightGCN,0.0051435232369032,0.008000009062958207,0.0014018691588785048,0.0010542511967175747,0.0032253758413122863,0.004132753188541408,0.002203243490317402,0.001862994631585097,0.004448614412712885,0.00485803656687534,0.013334852974697971,0.019033508092090267,0.014271480653579829,0.020619825389902247,0.004488598627407571,0.003257139694487492,0.010591164297552415,0.012595757075023478,0.006829283342917782,0.005625643923629182,0.01672550523419463,0.017799374736896113,0.03962807172902369,0.05512508301970334,0.019030430063139647,0.0021689571533097386,80.02379133098293,0.010591164297552415,cuda,True,44,2db0798d04a2508ffb923b18aefef52ecf111f01,50,binary
amazon_video_games,NGCF,0.0014915922736647635,0.0031995119152520594,0.00041030316845224525,0.00039890585821746066,0.001096794199969652,0.0015980479625305182,0.0006435737973506212,0.00070936957672929,0.0016081062012222257,0.00184773602201501,0.0039890585821746065,0.007636197857305676,0.007916409863834307,0.012833317530503676,0.002064423289794111,0.0017627850343148108,0.005014747255395327,0.006556741471075024,0.0032748410163562594,0.003099783655660152,0.006822001363455868,0.007632155423895571,0.019315917644454283,0.0313814478636263,0.03044128103647381,0.0034694872391695703,67.9350225260132,0.005014747255395327,cuda,True,44,2db0798d04a2508ffb923b18aefef52ecf111f01,50,binary
amazon_video_games,Sheaf4Rec-official,0.004559276092094347,0.007196706222686092,0.0010485525416001824,0.0008604969227262365,0.0024062032681439285,0.0032160804968536924,0.0017049880966397896,0.0015371943456364784,0.0024639899269486686,0.0028782384058112513,0.009801686801914749,0.015956234328698426,0.010740684237893455,0.016285153058742518,0.0032100951959265,0.0023688288687181754,0.008087286448141995,0.009824765291597056,0.004942894988281589,0.004136032815626803,0.012953006455331007,0.01386401047535652,0.02999778614124419,0.04317024573832189,0.10314635693794116,0.011755910296095415,461.9053641749779,0.008087286448141995,cuda,True,44,2db0798d04a2508ffb923b18aefef52ecf111f01,50,binary
amazon_video_games,NCL,0.007222849588311859,0.0124893271208596,0.0023820378390699793,0.0018463642580351036,0.005267638120933861,0.006915693839749734,0.003582572134311781,0.0032171238335686842,0.008151700008321846,0.008933075767498432,0.022110781855482105,0.03316617278322316,0.018171911553129826,0.02601852567034147,0.0060715076378127075,0.004364069072393181,0.013866851939058147,0.01645402354568983,0.009101925674717112,0.007474453327549157,0.02352455538336654,0.024865706780948203,0.05495904361301749,0.0745516936019482,0.0185714119579643,0.002116641435829075,73.34033423801884,0.013866851939058147,cuda,True,44,2db0798d04a2508ffb923b18aefef52ecf111f01,50,binary
amazon_video_games,DirectAU,0.004939165015897428,0.006997617246381117,0.0012423068155915204,0.0009003875085479827,0.003439913973903259,0.0040861777702124735,0.001985274229132122,0.0015954832527314802,0.004859369855380797,0.005203907210702723,0.011283337132436745,0.01618418053339412,0.011962778442273343,0.018108999022311945,0.0036473323001992475,0.0028503431481071506,0.008662964485094137,0.010652474251874702,0.005590252232345099,0.004925427607663684,0.013358836634794128,0.014506877307845152,0.03287580252379898,0.04964578259907018,0.018642317911144346,0.002124722807287935,281.41534249897813,0.008662964485094137,cuda,True,44,2db0798d04a2508ffb923b18aefef52ecf111f01,50,binary
amazon_video_games,LightGCN,0.0060346835735843925,0.008569947902653845,0.0015272395714611353,0.0010884431274219286,0.0037636507749290436,0.004573547097049446,0.002437582974077976,0.0019315641431292038,0.0052330388123640915,0.0056242562483251445,0.014360610895828584,0.019603373603829497,0.014063399364943094,0.01985379034077059,0.004383440336506531,0.003140912109807394,0.010467014855327758,0.012284153702275456,0.006683645875650721,0.005423771900587127,0.016672684497014804,0.017675694614472427,0.03890856763338499,0.053464688952844806,0.020041570998728275,0.002284200022649678,93.31023628398543,0.010467014855327758,cuda,True,42,2db0798d04a2508ffb923b18aefef52ecf111f01,50,rating
amazon_video_games,NGCF,0.0031982870911883665,0.006175581462507866,0.0008092090266697059,0.0007408251652609984,0.0021230821017632615,0.0029980169718494573,0.0012916208564933568,0.0013229488674586466,0.0027694559322095223,0.0031576994627567634,0.007636197857305676,0.013562799179393664,0.011141444176260349,0.017712536386058433,0.003199025902147443,0.0025376355988487934,0.007781091397004285,0.009814135097803704,0.004970795003554571,0.004439267272659893,0.011109705486504248,0.012173864696513482,0.028614124418862078,0.044498560991808725,0.030372080102097243,0.0034616001939933036,173.58302287501283,0.007781091397004285,cuda,True,42,2db0798d04a2508ffb923b18aefef52ecf111f01,50,rating
amazon_video_games,Sheaf4Rec-official,0.004429561954283178,0.0062197420333255475,0.0010713471620697516,0.0007807157510827445,0.0030374223586850046,0.003597789388127067,0.0017253870327818574,0.001387295152012436,0.004018546861036033,0.004337223656211434,0.01059949851834967,0.015272395714611352,0.009518236587559155,0.01431550925547979,0.0027230462696479964,0.002058888642904583,0.007482402488860019,0.008999268173401671,0.0042346213114616916,0.003600015048664589,0.012489655481408856,0.01331326689264341,0.026455612131945982,0.038078370599955724,0.10071402095491067,0.01147868941815713,423.8514657539781,0.007482402488860019,cuda,True,42,2db0798d04a2508ffb923b18aefef52ecf111f01,50,rating
amazon_video_games,NCL,0.006912303987232766,0.011225971299682365,0.0019489400501481653,0.0015329382265785274,0.004836456231260341,0.006178833991612352,0.003040581214711368,0.002697522151142597,0.006864979864751919,0.007560931768659922,0.018691588785046728,0.02872122179165717,0.017181227823125086,0.025444081338958063,0.00567301306176666,0.00410117334514058,0.013020063314074943,0.015680204406156553,0.00852964929779938,0.007063779906089995,0.021804378344947306,0.02314937528388125,0.05152756254150985,0.07095417312375471,0.0181647248682566,0.002070290046530271,122.33266629796708,0.013020063314074943,cuda,True,42,2db0798d04a2508ffb923b18aefef52ecf111f01,50,rating
amazon_video_games,DirectAU,0.004686742084370911,0.007350185073993981,0.001333485297469797,0.0010257579211306132,0.0036882197432454838,0.0045064165321281645,0.0020762344231027,0.0018002774292551582,0.005682418473049883,0.006096238303391827,0.012309095053567358,0.01834966947800319,0.012240777922011841,0.019433943953712195,0.003608589771972548,0.0029361301748948416,0.008835253853135184,0.011149140479129434,0.005573969493700966,0.0051015109678818615,0.013353521616749423,0.014605737937645916,0.03304184193048484,0.051361523134824,0.03800009307451546,0.004330988497209421,484.74116052303,0.008835253853135184,cuda,True,42,2db0798d04a2508ffb923b18aefef52ecf111f01,50,rating
amazon_video_games,LightGCN,0.005557390251540894,0.008581891837132061,0.0015500341919307042,0.0011340323683610668,0.003805606777734019,0.00472808979852314,0.0024239849403402767,0.002003338626206878,0.00579905999327016,0.006211598755843608,0.014702530202872122,0.02062913152496011,0.014268920150319433,0.020494281547013517,0.004438786805401816,0.003207327872481736,0.010455124742959463,0.012425922575108826,0.006771187365771749,0.005546617469627038,0.016429116108106587,0.017512551257014897,0.0395727252601284,0.05512508301970334,0.019450507999863476,0.0022168347389860356,159.039012068999,0.010455124742959463,cuda,True,43,2db0798d04a2508ffb923b18aefef52ecf111f01,50,rating
amazon_video_games,NGCF,0.004093307289899953,0.006367496488674949,0.0008547982676088443,0.0007465238203783907,0.002571102379812835,0.0032813604613532964,0.001414259230944433,0.0013363717275089297,0.003340587811752617,0.003714438280618897,0.008206063369044905,0.013790745384089354,0.011435458054998217,0.01831853816688257,0.0032654416648217844,0.00264002656630507,0.008058388657067905,0.010224370813578224,0.0050802089533021145,0.004614956036551836,0.011791740901216218,0.012962690153527863,0.029555014390081912,0.046657073278724814,0.10156373889185488,0.011575534407551274,338.2945776990382,0.008058388657067905,cuda,True,43,2db0798d04a2508ffb923b18aefef52ecf111f01,50,rating
