dataset,model,n_layers,epochs,Recall@10_mean,Recall@10_std,NDCG@10_mean,NDCG@10_std,Recall@20_mean,Precision@10_mean,Precision@20_mean,NDCG@20_mean,F1@10_mean,F1@20_mean,MRR@10_mean,MRR@20_mean,HitRatio@10_mean,HitRatio@20_mean,val_Recall@10_mean,val_Recall@20_mean,val_Precision@10_mean,val_Precision@20_mean,val_NDCG@10_mean,val_NDCG@20_mean,val_F1@10_mean,val_F1@20_mean,val_MRR@10_mean,val_MRR@20_mean,val_HitRatio@10_mean,val_HitRatio@20_mean,infer_total_s_mean,infer_ms_per_user_mean,train_seconds_mean,best_val_NDCG@10_mean,epochs_mean,n_layers_mean,Recall@20_std,Precision@10_std,Precision@20_std,NDCG@20_std,F1@10_std,F1@20_std,MRR@10_std,MRR@20_std,HitRatio@10_std,HitRatio@20_std,val_Recall@10_std,val_Recall@20_std,val_Precision@10_std,val_Precision@20_std,val_NDCG@10_std,val_NDCG@20_std,val_F1@10_std,val_F1@20_std,val_MRR@10_std,val_MRR@20_std,val_HitRatio@10_std,val_HitRatio@20_std,infer_total_s_std,infer_ms_per_user_std,train_seconds_std,best_val_NDCG@10_std,epochs_std,n_layers_std
amazon_video_games,DirectAU,1,50,0.004344596675545947,0.00010689613620476485,0.003027651626193768,0.00018535260353044018,0.007238234061740148,0.001170123850771218,0.0009212825773117543,0.0038876237059351274,0.0018429933709750072,0.0016340006887511354,0.0042696042781522605,0.004661592511552568,0.010979408859509154,0.0167160550110174,0.012224704657239379,0.01907085273680049,0.003734041768135193,0.002942587262932625,0.008811055516868714,0.010999556954033284,0.005720291007471109,0.005098447273438271,0.013455312265363185,0.014619257135658453,0.03392738543280938,0.051361523134824,0.018373623344814405,0.002094098853979303,271.2331527773446,0.008811055516868714,50.0,1.0,0.00020698521962674173,6.196150152078143e-05,3.7609204986747423e-05,0.0002070549193838953,8.102462530679407e-05,5.8139094531673024e-05,0.0005236768377536514,0.0005424327839092963,0.0005685977337244798,0.00038743404859758085,0.00027395274089949214,0.0005565506016842538,9.547154477850778e-05,6.114609039619419e-05,0.0001351459813690815,0.0002265840751693847,0.0001335141404355171,0.00011169035341076617,0.0003306139984015078,0.0003547240397087622,0.00075211486645412,0.0008586138497690279,0.0003073033087880631,3.502431146433371e-05,55.307038608617844,0.0001351459813690815,0.0,0.0
amazon_video_games,DirectAU,2,50,0.004719441465944291,0.0002541853577247138,0.003156275268206807,5.4092587062906646e-05,0.007089392759588969,0.001200516678063977,0.0009364789909581339,0.003909422500225336,0.0019127772634783336,0.001654233755939083,0.004457509138954318,0.004850387132531782,0.011321328166552694,0.017095965352176886,0.0123807053120967,0.018471524064978855,0.0037340417681351926,0.0028512655892554057,0.008901897376481166,0.010862918768255625,0.005737154211287288,0.004939966407130397,0.013486382425944082,0.014542952339165182,0.03409342483949524,0.04981182200575603,0.017629822987752657,0.00200932561975754,303.6875167026592,0.008901897376481166,50.0,2.0,0.00021322571817597517,1.4214943343111982e-05,7.107471671555999e-06,3.353846801049683e-05,8.582249247199328e-06,1.1306078136724294e-05,0.00017862309037320695,0.00018167883911778332,5.3727435695353035e-05,9.305864838474149e-05,0.0004969796569019172,0.0008994842218031434,0.00018313651367025857,0.00014024139471089956,0.00027111473880050903,0.0003245177312931793,0.00026539730029385083,0.00024237785101114765,0.0002520476452469778,0.0002440492018811818,0.001291681135282585,0.002130659348563223,0.00012237178406661678,1.3947091869912896e-05,128.3426184623111,0.00027111473880050903,0.0,0.0
amazon_video_games,DirectAU,3,50,0.004872663738357295,0.00011393576145706236,0.003330133323118437,0.00011244120692124465,0.007468896469082696,0.00124990502241471,0.0009554745080161082,0.004120707469618537,0.0019893543082532042,0.001694192397373464,0.004751185862993477,0.005144840915876892,0.011739229541828128,0.017475875693336373,0.012187190788058968,0.018607100782453378,0.0037672496494723638,0.002901077411261161,0.009056516567659156,0.011096661499975667,0.005754779333541249,0.005019276264265023,0.014104952425463828,0.015227649690441526,0.03401962954763486,0.05043908198656926,0.017628259306851152,0.0020091474021941137,262.281597086665,0.009056516567659156,50.0,3.0,0.0003918380210885302,1.0745487139070696e-05,4.221964662809224e-05,2.695393302510639e-05,2.07314127409195e-05,7.633004815755308e-05,8.887215573987382e-05,8.65556133827766e-05,0.00042644830029335996,0.0009321361709889293,0.00021137747355099714,0.0003634558957910155,9.50427781889986e-05,8.172849396109765e-05,0.0002834407148908235,0.00034170499333991826,0.00012126346908085918,0.00013130139512731036,0.0006073771657943032,0.0006380397815157752,0.0009264909991505945,0.0016994961187995748,0.0001261284578657167,1.4375251637305164e-05,24.234538180665155,0.0002834407148908235,0.0,0.0
amazon_video_games,DirectAU,4,50,0.005071053790620679,0.00041854352426889805,0.003450137468738902,0.00017954791896450373,0.007496889806665265,0.0012992933667654433,0.000949775852898716,0.00417690825606211,0.002066162135193043,0.0016858855848281308,0.004788860305158459,0.005159852629751205,0.01196717574652382,0.017361902590988524,0.012518103001976859,0.01912978151951013,0.003782008707844439,0.002949044350970408,0.008932111899866323,0.011066031119452022,0.005808838821137203,0.005110261489703483,0.013501661272582238,0.014670894792289474,0.03405652719356505,0.05106634196738249,0.017836537706898525,0.0020328855375995585,334.5783054359975,0.008932111899866323,50.0,4.0,0.00018663587138494284,6.447292283442425e-05,4.3233062368896876e-05,5.087445649501665e-05,9.724913528330545e-05,7.288082829742267e-05,7.432837435705695e-05,1.9135793464388752e-05,0.0007268112783872422,0.0008340740977167444,0.0002758038882868603,0.00018586185555938059,5.391350895211588e-05,4.773577238925394e-05,0.00024261152569243102,0.00022934532364825194,9.073322665735722e-05,7.824053898451984e-05,0.0003826629123402913,0.0003638640099050438,0.00047895930137064203,0.00024888822897261935,0.00011662558466523718,1.3292179697428532e-05,81.92320634359399,0.00024261152569243102,0.0,0.0
amazon_video_games,DirectAU,5,50,0.005029683099515632,0.0007061334528830885,0.0033188351167675757,0.00038150768586897165,0.007110889802878567,0.001280297849707469,0.000906086163665375,0.0039369048593824426,0.0020385172548206066,0.00160716643933082,0.004668736273477554,0.004976756505098758,0.01170123850771218,0.016298153635741965,0.012408669424257638,0.018725881049323795,0.0037045236513910413,0.002867869529923991,0.008836680907962115,0.010877521153651716,0.00570536642930895,0.004973956267267272,0.0133011913839897,0.014394965538776143,0.03401962954763486,0.05012545199616264,0.017897974622125428,0.00203988769342665,251.7083751113581,0.008836680907962115,50.0,5.0,0.000367378621768024,0.00010037113299614692,2.462100409698298e-05,0.00027941892617156785,0.00017712098776231412,4.6270455354913575e-05,0.0006912943818695194,0.0006578296031531118,0.0009685851214939565,0.00040563324413157506,0.0003255681849024102,0.0005534854514230201,0.00014249849839367948,9.374471268476478e-05,0.0003334342816096607,0.0003979403391019128,0.00020170634947688025,0.00016034185017501339,0.0008977060246870212,0.0009074832796673908,0.0014498474433169892,0.0015499207423517259,0.0002220027679889505,2.5302344197509805e-05,54.28593016132264,0.0003334342816096607,0.0,0.0
amazon_video_games,DirectAU,6,50,0.0045231473169238074,0.00023950452896466827,0.0030879582739854108,0.00029904273750622575,0.00723289641088325,0.0012385077121799255,0.0009649722665450953,0.003920911329307021,0.0019436261433230363,0.0017026340648792807,0.0044458856916117,0.004850461862043894,0.01170123850771218,0.017703821898032063,0.012511396925011463,0.019409956878553968,0.0038059921776990627,0.00295919120360121,0.009080126768109069,0.011262693210353827,0.005836468586571726,0.005135350051770908,0.013967625829757774,0.015122560648079228,0.03483137775809903,0.05187809017784665,0.01779649460998674,0.002028321701616907,262.06899921033374,0.009080126768109069,50.0,6.0,0.0002839665348786375,0.00012392300304156286,5.018556649807349e-05,0.0002964446413883094,0.00017387643388198421,8.488762811702534e-05,0.000694478903518296,0.0006890951268095873,0.0010376491363686387,0.0008340740977167463,0.00041415888426437616,0.0005588921396059306,0.0001262363323338204,0.00010027066815512629,0.00030602088709838547,0.00035625653466317614,0.00019294315521912732,0.000169391462316796,0.0003347560378770322,0.00037610676513394467,0.001316992716225723,0.0018246622731278976,0.00018700188641061714,2.1313185139117518e-05,93.46432660562911,0.00030602088709838547,0.0,0.0
amazon_video_games,DirectAU,8,50,0.004979471479934394,0.000328364383249233,0.003309178075301404,0.0001880501376314114,0.007234427994758939,0.0012726996428842792,0.0009535749563103108,0.00401190417294352,0.0020269552779611797,0.001685007825228071,0.004835685762287084,0.005186474194704429,0.011929184712407871,0.017171947420408784,0.012440440395437166,0.018552145630699755,0.0037414212973212306,0.0028697144122205,0.008821419621536939,0.010797521831889229,0.005752317972161379,0.00497046102177424,0.013439689333534807,0.01454006334667867,0.03416722013135562,0.05042063316360416,0.017791079628902178,0.0020277045394235444,248.31244893568024,0.008821419621536939,50.0,8.0,0.00032644791447769843,4.775398940041235e-05,3.0980750760390675e-05,0.0001505230042452802,8.778883253047309e-05,5.709372906261332e-05,0.00021302766699025469,0.00016413386964138842,0.0005685977337244802,0.0005125270710140573,0.0002590796700969993,3.216995562713157e-05,8.442226543168455e-05,3.733323434589357e-05,0.00020779853458886935,0.00013366263645692855,0.00011830314833590382,5.58676227758971e-05,0.0005696956328094852,0.0005595827958224782,0.0006332005867364175,0.00039135863470585956,0.00010325707206089538,1.1768528842135185e-05,43.7959734379469,0.00020779853458886935,0.0,0.0
amazon_video_games,LightGCN,1,50,0.00436930826826662,5.1542338074585134e-05,0.0031231854801983404,0.00016189688757713806,0.007061057189455394,0.0011283337132436744,0.0008984879568421852,0.003952951760421962,0.0017930375118667867,0.0015938077809900992,0.004701691987992421,0.005087357509652024,0.010789453688929413,0.01645011777220576,0.012708122441656216,0.018547749973528423,0.003866873293483876,0.0028226699136595086,0.009410735002510384,0.011244447565809867,0.005929046132331889,0.004899670116868697,0.014710234879871805,0.015731161167208664,0.03488672422699432,0.04968268024500037,0.015045927003181228,0.0017148309782517926,54.65080700533387,0.009410735002510384,50.0,1.0,0.00032446588843118964,5.66053659514905e-05,7.91454549654269e-05,0.00023881939955508921,7.495823682113196e-05,0.00013247392339556292,0.0003704406242884803,0.0004046805654868437,0.00042981948556282753,0.0012702874779500412,0.0003765952541437798,0.0002668842015784936,0.0001482578451986161,5.4836779380495364e-05,8.880792538057015e-05,1.0487570571309808e-05,0.00021028644674530968,9.188179395951075e-05,5.011715610099323e-05,8.738211353558727e-05,0.0013053112649478798,0.0009716769302829086,0.00014364475749576268,1.637163864779614e-05,5.624969356267084,8.880792538057015e-05,0.0,0.0
amazon_video_games,LightGCN,2,50,0.005028318844690534,0.00026074554317919953,0.0034152167843942856,0.00020845019210525252,0.008172560916445713,0.0012992933667654433,0.0010219588177190183,0.00438512704529641,0.0020644664092586587,0.0018164400168301082,0.004829881576519371,0.005273459950141547,0.012309095053567358,0.018615606716814833,0.013733844017962715,0.020052002911905984,0.004202641871448602,0.003094790052394657,0.010248428096757778,0.012250163188491855,0.006435277528189959,0.005361841014771066,0.016203864764856576,0.01731612854116994,0.03737731532728212,0.053427791306914614,0.01596344234227824,0.0018194030479004146,69.29244972099939,0.010248428096757778,50.0,2.0,0.00023739556221586913,2.4621004096982902e-05,2.295237059037038e-05,0.0002026203004762862,4.901045720870865e-05,3.5181917026471375e-05,0.00046980354768978467,0.00045891165003258554,0.00027917594515422626,0.0003760920498674745,0.00022323212245686943,0.0003450384504651445,8.973792714202129e-05,6.0008323988231946e-05,5.480664220068462e-05,0.00011791345631196796,0.00011528157726890176,9.78062826706491e-05,0.00010539890248038957,0.00010529231073549001,0.0009695729719925406,0.0009286925650249574,0.00020610601065375352,2.3490541446746295e-05,5.0849028785662,5.480664220068462e-05,0.0,0.0
amazon_video_games,LightGCN,3,50,0.005429477848333152,0.0002117007652152827,0.0036386592631606333,0.0002923807099717262,0.008423977968957662,0.0014550566066408328,0.0010979408859509157,0.004575838792489072,0.002294653667654771,0.0019425170729264597,0.005275190769264168,0.0057110986484669,0.013828736418205303,0.019983283944988984,0.014107559747303317,0.020338006358000624,0.0043815954542100214,0.0031888790495166407,0.01048986330246098,0.012466724815720443,0.006686319664762585,0.005513286153552733,0.01660527308357727,0.01769235265209966,0.03883477234152461,0.05433178363220426,0.019245386007241905,0.002193456349127183,86.79548531300195,0.01048986330246098,50.0,3.0,0.00032032102814419367,4.68384925383252e-05,3.4922833201979784e-05,0.00031422574158189095,7.097074109994523e-05,6.0582903728611535e-05,0.0006068605650905644,0.0006248270055848364,0.00041962468722693037,0.0007464053910944655,0.00014105470471168616,0.00027744751852589247,9.308889241784992e-05,5.77097347783083e-05,7.530106266180484e-05,9.164344242183367e-05,0.000124270825349409,9.627356646155615e-05,0.0001223756686581972,0.00011426196068526227,0.0008287608827841538,0.0008287608827841571,0.000259090726654602,2.9529373906382887e-05,9.737116092099537,7.530106266180484e-05,0.0,0.0
amazon_video_games,LightGCN,4,50,0.00582885658712379,0.0003569297833204604,0.0037200673601823545,0.00027476832801711244,0.008419609921384007,0.001557632398753894,0.001107438644479903,0.004522552933783731,0.002458169451248129,0.0019573228906256167,0.00519310299912078,0.005557570353352078,0.014702530202872122,0.019983283944988984,0.014264196195198356,0.02071942628987035,0.004462770275256438,0.0032285440188915947,0.010630485778662655,0.012648769826259803,0.006798033072018661,0.005586407039891808,0.016867465998526437,0.017934868780266816,0.03948048114530293,0.054829901852261824,0.023256843337245908,0.0026506545859637464,108.08132612499564,0.010630485778662655,50.0,4.0,0.0001908720626207821,7.521840997349494e-05,4.196246872269299e-05,0.00023791558952151296,0.00012461635336329503,6.999135224801183e-05,0.00047566306472395306,0.0004808744974722101,0.0008877229272508105,0.0008443929325618446,0.00012921714994091723,0.00018625815776730185,9.264909991505927e-05,3.993222054075966e-05,7.788765685484837e-05,7.729249236480907e-05,0.00011261977044900483,5.9306499879654425e-05,0.00012735351026476458,0.00012871663596544173,0.0007319324929849258,0.0006843493834769167,8.109288937267682e-05,9.24240818015464e-06,8.769872105367641,7.788765685484837e-05,0.0,0.0
amazon_video_games,LightGCN,5,50,0.005828977226019831,0.0002834268493786122,0.003760552898188772,0.0002520827574254664,0.008687089754750094,0.0015804270192234634,0.0011625256439480281,0.004659651206646138,0.0024863157440893763,0.002050575688649963,0.0053222875909221925,0.005747060847890875,0.014968467441683763,0.020971050832003648,0.014328749966714469,0.02063038809508776,0.004542100214006347,0.0032691314294148034,0.010696224299205512,0.012691668566335327,0.006897522331869125,0.005643871730588838,0.016988825577213887,0.018060883969712397,0.04001549701129068,0.055346468895284474,0.027475809697837878,0.0031315032707816136,124.5263806146686,0.010696224299205512,50.0,5.0,0.00028638177916241573,8.942027426441624e-05,3.512886940374382e-05,0.00024737321957240264,0.0001340339247810609,6.174407033813305e-05,0.000414945274258041,0.00040305810581554104,0.0007804360832829634,0.0006514105386931933,0.00012289576381361862,0.00018859633988869973,4.1988807751239585e-05,4.1190896542259056e-05,4.6346088290677225e-05,5.1846438155122256e-05,5.285257991383334e-05,6.693009041386658e-05,3.595498078873093e-05,2.481323197057465e-05,0.0006406816970771652,0.0007058935307250027,8.626753459742884e-05,9.832178549969115e-06,7.149744867709991,4.6346088290677225e-05,0.0,0.0
amazon_video_games,LightGCN,6,50,0.0059087317165333825,0.0003956201203568965,0.0038583738545555045,0.00017627165410362416,0.008749192356699445,0.001614618949927817,0.0011663247473596232,0.004733390886337971,0.0025356657382333055,0.002058191744596583,0.005481910237437933,0.005882056780340373,0.01527239571461135,0.020971050832003648,0.014461028220000728,0.02061428980127128,0.004626964799645783,0.0032940373404176816,0.010744529620163541,0.012689709671414362,0.007010332045530845,0.0056801935488937985,0.01713665775266395,0.018194143156803566,0.04051361523134824,0.05567854770865619,0.03152409999165684,0.0035928994747728336,137.69011976965703,0.010744529620163541,50.0,6.0,0.0001532524248857063,5.291538742186819e-05,1.937170242987917e-05,0.00010126795891223929,0.00010074091744920549,3.207226678014167e-05,0.0002320373497669107,0.00019603612143141854,0.0005181286261296953,0.00016118230708606115,0.00021622112895726316,1.7448948023742153e-05,0.00011853279023104584,5.806252299408261e-05,7.804198781499057e-05,4.873962471667209e-05,0.000155483518876563,8.702914604532477e-05,0.00012629367905494525,0.00011341508300392427,0.0008466381747165357,0.000791796315175076,0.00013506207758767029,1.539344399221231e-05,17.683024094821143,7.804198781499057e-05,0.0,0.0
amazon_video_games,LightGCN,8,50,0.005669992402115929,0.0003388238370192452,0.003695398414047285,9.598058261755676e-05,0.008814880782717187,0.001580427019223463,0.0011929184712407871,0.004664924821766908,0.002471695662945928,0.0021012775635897516,0.005267215667261256,0.00571880460084932,0.014816503305219969,0.02127497910493124,0.014214867695596475,0.02020386956092476,0.004538410449413328,0.003213784960519519,0.010588229346618233,0.012476018677667419,0.006880076352953761,0.00554518145134604,0.016727364758414128,0.017737418936646692,0.03975721348977935,0.05431333480923917,0.0397150216352505,0.004526444225581319,173.4719355883232,0.010588229346618233,50.0,8.0,5.180328778465522e-05,7.748680971951664e-05,2.726369594713049e-05,1.8643005025493118e-05,0.0001258820267310261,4.104231898753603e-05,0.00015554597016390057,0.00017452929810566836,0.00040563324413157474,0.0006732028397032661,0.00021987944639404407,0.00018724070616928015,8.82077565337018e-05,3.850017850104993e-05,9.29474534766737e-05,0.00011604040373968251,0.00012490892396130283,5.081791995477944e-05,0.00023062848021362055,0.00023018965624772755,0.0007457524511625586,0.0005447872134983912,8.66264988357486e-06,9.87309081784461e-07,45.664313775323066,9.29474534766737e-05,0.0,0.0
amazon_video_games,NCL,1,50,0.008466903341924263,0.00038167337568907345,0.006123351775797605,0.000633874456092128,0.012739603678678728,0.002697363422232353,0.0019565382569713546,0.007476115479465297,0.004090289947551513,0.0033920614743158457,0.010047648596201138,0.01072640737937375,0.025150064584757995,0.034761796216093,0.018338631766925798,0.02706150932799548,0.006392517157405357,0.004643568740314368,0.014142074558238937,0.017017427774389207,0.009478427343521879,0.007926686209014358,0.024028193608390636,0.025517380960177128,0.056268910043539226,0.07755885174525866,0.018200008014294628,0.0020743113761448177,73.27306858366744,0.014142074558238937,50.0,1.0,0.00042338549082058846,0.00019549700372720305,7.521840997349498e-05,0.0006163839712711506,0.00026501458199994514,0.0001274667294557825,0.001838813592020825,0.0017778464426884432,0.0014214943343112006,0.0006710554567531231,0.0005547939068866599,0.000565979663301546,0.0004025734395095814,0.00017045454499041966,0.001031454672057342,0.0009692842440072242,0.0005163435979328979,0.0002725001038556683,0.002544604596469556,0.0024988544912053993,0.00240415841955509,0.0018106182785603022,0.0004978489250609798,5.674138648974011e-05,0.43184724738927704,0.001031454672057342,0.0,0.0
amazon_video_games,NCL,2,50,0.007542346085496632,0.0005137157859577201,0.004938587994054126,0.0006488801048110773,0.011671227313650645,0.0021806853582554517,0.001645011777220576,0.006234179194607313,0.003374515735562447,0.002882566381201926,0.0070800664059155055,0.00772368984231573,0.02062913152496011,0.029974925917483478,0.01748851720542502,0.02560082216426594,0.005636115415836469,0.004177735960445724,0.012714195688386415,0.01540671516979837,0.008520549185638457,0.007181495818134606,0.02024567975420311,0.021698035607385032,0.05066046786215039,0.07159988192753303,0.017652382996554177,0.002011896853949644,72.67514994066248,0.012714195688386415,50.0,2.0,0.0012618487943398462,0.0004030990154152735,0.00026616779871724045,0.0008513893149769419,0.0005414030651386511,0.0004479585871938164,0.0013768726523090765,0.001449968134043605,0.0034204592038135024,0.004264483002933601,0.0012667127983639764,0.0015917330923275672,0.0006827510332790108,0.0004353316337021031,0.001160929650465,0.0012706126271192172,0.0009320019061852267,0.0007062172022591369,0.0024742428767791785,0.0025046917214050766,0.005532863215892533,0.006170793457807247,0.00016475797485969923,1.877797753130843e-05,0.11807277509146838,0.001160929650465,0.0,0.0
amazon_video_games,NCL,3,50,0.008263308373826316,0.000837986474717658,0.005886550686216979,0.0008075929867488661,0.012719835984514545,0.0026935643188207583,0.0019318440847959882,0.007270685352196514,0.004060561985033242,0.0033538247941733977,0.009072605690453877,0.009749482507860062,0.024542208038902818,0.03430590380670162,0.018965937601881363,0.02752585503942526,0.006503210095195926,0.004674931739355029,0.014485070289796198,0.01728552182254199,0.0096834746819439,0.007991804237943245,0.024225464236810258,0.02567065920576155,0.05665633532580622,0.07761419821415394,0.017934483961046983,0.0020440487760482085,72.72612597133654,0.014485070289796198,50.0,3.0,0.0007107634264799717,0.0003556171848290118,0.00017152857241044454,0.0007730885613720744,0.0004986720156637351,0.00028280284429783214,0.0016871545337202394,0.0016671280120608863,0.002533748499435161,0.0022870476321392597,0.0010089857676330695,0.0013467341474462866,0.000560413175382345,0.00033605481818049375,0.0008310704760288128,0.0009160845734276227,0.0007518441611135094,0.0005464571971645767,0.0013030432631491002,0.0013172002521639424,0.0034679861670752514,0.003722458651063862,0.00013116715542676118,1.4949527630130278e-05,0.20605236832463034,0.0008310704760288128,0.0,0.0
